source_document,page,subcommittee,agency,fund,account,row_type,actual_fy23,actual_fy24,appropriation_fy25,governor_fy26,governor_fy27,legislative_fy26,legislative_fy27
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Municipal Stabilization Grant,account,37853333.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Municipal Restructuring,account,,,7300000.0,300000.0,300000.0,300000.0,300000.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Tiered PILOT,account,247034912.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Agency Total - General Fund,account,502550454.0,47356710.0,112885758.0,84208664.0,179208664.0,109004564.0,211468564.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Personal Services,account,606878.0,598064.0,740945.0,770498.0,770498.0,770498.0,770498.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Transportation Fund,account,606878.0,598064.0,740945.0,770498.0,770498.0,770498.0,770498.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Grants To Towns,account,51387605.0,52420137.0,52541796.0,52541796.0,52541796.0,52541796.0,52541796.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Pequot and Mohegan Fund,account,51387605.0,52420137.0,52541796.0,52541796.0,52541796.0,52541796.0,52541796.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Personal Services,account,196636.0,233347.0,363008.0,374039.0,374039.0,374039.0,374039.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Other Expenses,account,,,6012.0,6012.0,6012.0,6012.0,6012.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Fringe Benefits,account,143875.0,190446.0,277130.0,277130.0,277130.0,277130.0,277130.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Agency Total - Insurance Fund,account,340511.0,423793.0,646150.0,657181.0,657181.0,657181.0,657181.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Personal Services,account,96801.0,132458.0,194591.0,200396.0,200396.0,200396.0,200396.0
2025BB-20250827_FY26_FY27.pdf,79,General Government,,,Reserve For Salary Adjustments,account,,10288171.0,48184698.0,118165598.0,222551369.0,18165598.0,186551369.0
2025BB-20250827_FY26_FY27.pdf,79,General Government,,,Agency Total - General Fund,account,,10288171.0,48184698.0,118165598.0,222551369.0,18165598.0,186551369.0
2025BB-20250827_FY26_FY27.pdf,79,General Government,,,Reserve For Salary Adjustments,account,,,7736356.0,10868037.0,19864541.0,10868037.0,19864541.0
2025BB-20250827_FY26_FY27.pdf,79,General Government,,,Transportation Fund,account,,,7736356.0,10868037.0,19864541.0,10868037.0,19864541.0
2025BB-20250827_FY26_FY27.pdf,79,General Government,,,Total - Appropriated Funds,fund_total,,10288171.0,55921054.0,129033635.0,242415910.0,29033635.0,206415910.0
2025BB-20250827_FY26_FY27.pdf,81,General Government,,Fund,General Fund,account,938.0,941.0,941.0,1097.0,1097.0,963.0,963.0
2025BB-20250827_FY26_FY27.pdf,81,General Government,,Fund,Special Transportation Fund,account,31.0,31.0,31.0,31.0,31.0,31.0,31.0
